loop_id,label,p2ll
797,0,
798,5,1.396273394432556
799,1,2.3636764896143827
800,3,3.0268230462674044
801,3,3.0268230462674044
802,3,1.6206501767996178
803,1,1.077901199214285
804,3,1.6750315232890494
805,3,1.6865225593435245
806,3,1.9404335450949242
807,3,1.400213944663929
808,3,1.0354555666156868
809,3,1.6965943330524724
810,1,1.6000349422792837
811,1,1.2977550954792734
812,1,1.801546995625632
813,1,1.3620311322323158
814,1,1.3022255157780114
815,3,
816,3,
817,1,1.802533396049401
818,0,2.9404796229727204
819,3,2.5432448525255826
820,5,2.384621943871676
821,5,2.384621943871676
822,1,1.5533595273513456
823,0,2.238018600203344
824,0,1.5587394191001664
825,1,1.111483839866957
826,1,2.055089612811913
827,1,2.055089612811913
828,1,1.9397681219542364
829,1,2.078554396728251
830,4,1.5444942750500117
831,4,1.4071768658897141
832,4,1.132907347248933
833,4,
834,4,1.3661105215895188
835,2,1.1538695245777257
836,4,
837,4,
838,2,1.6782394794286524
839,5,1.890351540384675
840,1,1.5156179049882008
841,1,1.4312446707107105
842,1,2.334126767922889
843,4,1.5689308443880616
844,2,2.029226411431983
845,2,2.023028596982411
846,5,1.7130449048460639
847,2,2.154648766536152
848,2,1.9604689055607398
849,1,0.8478634365877982
850,1,2.363516020771061
851,0,2.4640623061256917
852,1,2.363516020771061
853,1,1.4248263291927543
854,1,1.4248263291927543
855,2,1.989744049963702
856,1,1.8352141080617628
857,5,1.6715546925855824
858,1,1.7883793501302805
859,1,1.089638926665831
860,1,3.154340176063837
861,1,2.8328730226321914
862,3,1.6013055252823345
863,2,
864,2,
865,1,2.511872403791018
866,1,1.9458216056080755
867,5,1.8900275326688305
868,1,0.7847934524086074
869,1,2.2063407471727055
870,2,1.6714306494504652
871,1,2.295602402157256
872,1,1.352623149699764
873,1,1.2991765658910068
874,4,
875,1,1.7188368229819944
876,4,1.7897980276619734
877,4,1.5350082185706424
878,1,1.9834777511879182
879,1,2.083377072724622
880,1,1.0157957538597868
881,5,1.9638512434055446
882,3,1.0855845248693292
883,5,2.575066841849338
884,5,1.714251721781133
885,5,1.9357931663553738
886,5,1.7956908431152014
